Dataset Name, Distinct Words : Total Words Ratio, Class Imbalance, Class Shannon Diversity, Maximum Unigram Hellinger Distance, Mean Unigram Mutual Information Between Classes, Difficulty Measure
SST_and_ClassicLit_and_LMRC,0.020355232265577304,0.7108934255295796,0.8349530152681783,0.7176071410451916,1.3046728851287062,3.5884816992372333
SST_and_LMRC,0.02066614590171689,0.655229637824676,0.45964813583629294,0.7177962733365685,1.9056663690993343,3.7590065619985884
SST_and_SST_2,0.010567917714751471,0.3329487082565741,0.6366473859823222,0.9152582629409646,2.1922910586125095,4.087713333507121
TE,0.10570718160393179,0.8002398190045248,2.128723993003374,0.7466519144928645,1.2050480393399845,4.98637094744468
TE_and_AT,0.090099919499614,0.46156661786237185,0.582478185930685,0.5745668266194689,1.202929918906882,2.911641468819022
TE_and_ATIS_Int,0.09224927456373841,0.5721188964432207,0.5191310214184587,0.2671859949264179,1.1115569287093594,2.562242116061195
TE_and_NYR_10,0.10847058766680116,0.777573237693211,0.34904470748212807,0.5600228523239998,1.3863647591164043,3.181476144282544
YAHOO_ANSWER,0.020702694255308903,0.0,2.3025850929940455,0.7716839781361167,1.4122587189517803,4.507230484337251
YELP_0_05,0.02932984355610467,0.1777777777777777,1.5810937501718236,0.8255018842205091,1.912705967218717,4.526409222944933
YELP_BINARY,0.009977691517533475,0.0,0.6931471805599453,0.8177159114813434,2.065921334892934,3.586762118451756
YELP_FULL,0.009641376191441262,0.0,1.6094379124341005,0.8916033124421485,1.9071869937575474,4.4178695948252376
YTS,0.16558661379243642,0.009537784299339658,0.6931016952056317,0.4983617213453462,1.3029237158357139,2.669511530478468
YTS_and_AT,0.07613916655848371,0.7655671346137283,0.36134199310114046,0.47967460890754077,1.104306638666904,2.7870295418477973
YTS_and_ATIS_Int,0.03790900327013591,0.6900748018309701,0.43122150175936,0.39627464674068,1.107347101638665,2.662827055239811
YTS_and_TE_and_PSC_and_RS,0.09851373015907128,1.1640213999108338,0.6338626454931172,0.531347412100995,0.6905718932383216,3.1183170809023384
